Date,Ticker,Open,High,Low,Close,Volume,price_Range,price_change,Return,MA_7,MA_30,EMA_7,EMA_30,Rolling_STD,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Day,Month,weakday,Target,Return_Lag1,Return_Lag5,MA_5_Ratio,MA_20_Ratio
2023-05-08,INFY.NS,0.06647015464567695,0.058229486342646464,0.06007181095144977,1157.8274569243922,0.0921630757667354,0.10054928974715106,0.4506363913088296,0.5070767752812054,0.49826179371813817,0.5193236736582048,0.05089015051514334,0.05217985105990543,0.23460334026652685,0.48324739429401475,0.48379848918306023,0.4843281976752567,0.4848879732463327,0.48540748619333907,0.4859500653126114,0.4865176119403456,8,5,0,0.5202869827959743,0.507145890390627,0.5071968761289417,0.3281696842283681,0.3335429205504359
2023-05-09,INFY.NS,0.07205725921870075,0.06010280165886117,0.06623247247769772,1161.0832230022093,0.0870660996402992,0.0752453282329407,0.4430491187153026,0.5202869827959743,0.49826179371813817,0.5193236736582048,0.05325237628073398,0.05440700565714841,0.23460334026652685,0.05654017564156155,0.48379848918306023,0.4843281976752567,0.4848879732463327,0.48540748619333907,0.4859500653126114,0.4865176119403456,9,5,1,0.5469764999427783,0.507145890390627,0.5071968761289417,0.3281696842283681,0.3335429205504359
2023-05-10,INFY.NS,0.06389576454136713,0.06495199149804565,0.06449653096544618,1170.6215279475311,0.11414714342645034,0.11486517510647454,0.5304291594556403,0.5469764999427783,0.49826179371813817,0.5193236736582048,0.059255662065029746,0.059641501274854805,0.23460334026652685,0.0604768906471016,0.05654017564156155,0.4843281976752567,0.4848879732463327,0.48540748619333907,0.4859500653126114,0.4865176119403456,10,5,2,0.48259631972697997,0.5202869827959743,0.5071968761289417,0.3281696842283681,0.3335429205504359
2023-05-11,INFY.NS,0.056062794412603964,0.06440110697580459,0.057663849848593754,1164.9812836207216,0.12067683330143765,0.15215459125976535,0.5353244133631824,0.48259631972697997,0.49826179371813817,0.5193236736582048,0.05951817531032422,0.060195326461677925,0.23460334026652685,0.07201014804587724,0.0604768906471016,0.05654017564156155,0.4848879732463327,0.48540748619333907,0.4859500653126114,0.4865176119403456,11,5,3,0.44067525882125425,0.5469764999427783,0.5071968761289417,0.3281696842283681,0.3335429205504359
2023-05-12,INFY.NS,0.044121153087627756,0.04247020756469455,0.041981626471089946,1149.4815684750179,0.14526871607811684,0.11286718233137193,0.5059529188309759,0.44067525882125425,0.49826179371813817,0.5193236736582048,0.05321653545578697,0.055857486436925466,0.23460334026652685,0.06519023717219707,0.07201014804587724,0.0604768906471016,0.05654017564156155,0.48540748619333907,0.4859500653126114,0.4865176119403456,12,5,4,0.49279940964155383,0.48259631972697997,0.5071968761289417,0.38201554992652653,0.3335429205504359
2023-05-15,INFY.NS,0.05852738470107986,0.05668646102360353,0.049374430275722206,1146.317457613311,0.09696088517330649,0.15481825351715173,0.42469194537049343,0.49279940964155383,0.49826179371813817,0.5193236736582048,0.04806435748197502,0.05215670657056683,0.23460334026652685,0.04644873064584365,0.06519023717219707,0.07201014804587724,0.0604768906471016,0.05654017564156155,0.4859500653126114,0.4865176119403456,15,5,0,0.5660734059172953,0.44067525882125425,0.5071968761289417,0.3863856623275561,0.3335429205504359
2023-05-16,INFY.NS,0.06504596500258474,0.06225174704048997,0.06852883303425218,1160.1661142944206,0.09173609266295416,0.07457879416977235,0.4694829722825483,0.5660734059172953,0.05320937733908182,0.5193236736582048,0.04973634641937297,0.05269624751051906,0.054497519271248476,0.04262284069836153,0.04644873064584365,0.06519023717219707,0.07201014804587724,0.0604768906471016,0.05654017564156155,0.4865176119403456,16,5,1,0.48921509176504857,0.49279940964155383,0.5202869827959743,0.3178447472088193,0.3335429205504359
2023-05-17,INFY.NS,0.04598366709512413,0.04792527321211204,0.04579001159375085,1156.1307625392042,0.18334480690931645,0.12318872716516256,0.53312118072131,0.48921509176504857,0.05290499720488251,0.5193236736582048,0.049458390922026974,0.052265149395446034,0.05511033623880977,0.0593679671171643,0.04262284069836153,0.04644873064584365,0.06519023717219707,0.07201014804587724,0.0604768906471016,0.05654017564156155,17,5,2,0.49856010993781275,0.5660734059172953,0.5469764999427783,0.3233297816054943,0.3335429205504359
2023-05-18,INFY.NS,0.04499780181643608,0.04649284813393906,0.04579015732094761,1154.2966286307426,0.12173270244549043,0.11453272171454001,0.527736535217215,0.49856010993781275,0.051687509527916564,0.5193236736582048,0.04863361645937925,0.05158467908804744,0.0554632937646362,0.054488614784196976,0.0593679671171643,0.04262284069836153,0.04644873064584365,0.06519023717219707,0.07201014804587724,0.0604768906471016,18,5,3,0.4963886139048098,0.48921509176504857,0.48259631972697997,0.32185313483062483,0.3335429205504359
2023-05-19,INFY.NS,0.07008552866132443,0.06153566004269795,0.057383644248928625,1151.9579766677468,0.19435476236208327,0.13650643647275723,0.40315273264737894,0.4963886139048098,0.04833934365150938,0.5193236736582048,0.047257091187164146,0.05063346000567438,0.02957044490109568,0.05227086869709119,0.054488614784196976,0.0593679671171643,0.04262284069836153,0.04644873064584365,0.06519023717219707,0.07201014804587724,19,5,4,0.5728588557953912,0.49856010993781275,0.44067525882125425,0.3356396515929001,0.3335429205504359
